PW Estimate (mW),Description
469.04054878048794,tick_sched_timer
100.41183841463415,[3] net_rx(softirq)
68.15548780487805,[PID 4000] ffmpeg -re -ss 1591 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
67.99085365853658,[PID 3999] ffmpeg -re -ss 1172 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
53.505731707316976,[PID 18] [rcu_preempt]
38.16402439024406,toggle_allocation_gate
19.34542682926832,fb_flashcursor
15.801524390243898,watchdog_timer_fn
15.189817073170738,[PID 3840] powertop --csv --iteration=328 --time=10 
13.32378048780488,[PID 3996] ffmpeg -re -ss 1591 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.074695121951226,[PID 3992] ffmpeg -re -ss 1172 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
10.060060975609728,handle_update
7.784207317073199,[PID 119] [kcompactd0]
7.759817073170709,bnx2x_sp_task
4.363719512195124,bnx2x_period_task
3.8993902439024555,pci_pme_list_scan
3.7232926829268433,[66] eth1
3.50954268292683,"[PID 3993] socat TCP-LISTEN:8080,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1591 1800 "
3.3409146341463414,"[PID 3989] socat TCP-LISTEN:8081,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1172 1800 "
3.1165000000000047,[60] eth0
1.6221036585365876,kfree_rcu_monitor
1.4853841463414637,[7] sched(softirq)
0.9904451219512213,lru_add_drain_per_cpu
0.8473506097560973,neigh_managed_work
0.7660853658536583,[4] block(softirq)
0.7271067073170733,[PID 3984] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717256931.8639812-45672655740744/AnsiballZ_command.py 
0.7050091463414633,[PID 3979] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717256931.704372-98109881561916/AnsiballZ_command.py 
0.6170548780487801,flush_memcg_stats_dwork
0.5337743902439029,[PID 121] [khugepaged]
0.5300579268292681,[PID 2027] [jbd2/sda3-8]
0.4866402439024388,[9] RCU(softirq)
0.44449390243902487,kfree_rcu_work
0.4144359756097562,hrtimer_wakeup
0.4104146341463417,[PID 3977] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717256931.704372-98109881561916/async_wrapper.py 309375
0.4103353658536591,[PID 3982] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717256931.8639812-45672655740744/async_wrapper.py 40839
0.40131402439024405,wb_workfn
0.367893292682927,vmstat_shepherd
0.3597560975609756,"[PID 4000] dmx0:mov,mp4,m4"
0.35582621951219556,drm_fb_helper_damage_work
0.34451219512195125,"[PID 3999] dmx0:mov,mp4,m4"
0.30575000000000047,neigh_periodic_work
0.29893292682926853,blk_mq_run_work_fn
0.2584115853658537,[1] timer(softirq)
0.2530487804878049,[PID 3882] python3
0.23477134146341447,delayed_work_timer_fn
0.22347560975609757,[PID 3880] python3
0.2231463414634145,hpsa_event_monitor_worker
0.18359756097560956,blk_mq_timeout_work
0.1575243902439024,process_timeout
0.11829268292682926,[PID 3974] python3
0.11525304878048767,[PID 17] [ksoftirqd/0]
0.11484756097560961,[PID 31] [ksoftirqd/2]
0.11386890243902446,wb_update_bandwidth_workfn
0.10121951219512196,[PID 3969] python3
0.0960823170731707,netstamp_clear
0.09120426829268288,[PID 109] [ksoftirqd/15]
0.08285365853658538,delayed_vfree_work
0.07517987804878047,[PID 3702] /usr/sbin/crond -c /etc/crontabs -f 
0.0676829268292683,[PID 3996] ffmpeg
0.061585365853658536,[PID 3992] ffmpeg
0.06125304878048777,crng_reseed
0.0534420731707317,[PID 25] [ksoftirqd/1]
0.04923780487804878,[PID 3675] /usr/sbin/chronyd -f /etc/chrony/chrony.conf 
0.04318597560975612,hpsa_monitor_ctlr_worker
0.03753048780487804,[6] tasklet(softirq)
0.033634146341463424,check_lifetime
0.03005182926829268,[PID 13] [kworker/u32:1]
0.02762804878048781,addrconf_verify_work
0.02731707317073171,[PID 3998] ffmpeg -re -ss 1172 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
0.027164634146341463,[PID 3878] sshd
0.026603658536585365,ext4_end_io_rsv_work
0.025704268292682925,[PID 3619] /sbin/syslogd -t -n 
0.024481707317073168,[PID 3877] sshd: videoserver@notty 
0.024451219512195123,[PID 3984] AnsiballZ_comma
0.02223780487804879,[PID 3868] [kworker/u32:0]
0.021768292682926828,[PID 3978] [python3]
0.019329268292682927,[PID 3979] AnsiballZ_comma
0.01928963414634146,[PID 397] [kworker/0:10]
0.01798170731707317,hpsa_rescan_ctlr_worker
0.017560975609756096,[PID 3993] socat
0.017539634146341465,[PID 73] [ksoftirqd/9]
0.017347560975609758,[PID 3989] socat
