PW Estimate (mW),Description
1070.7814024390248,tick_sched_timer
268.3611798780487,[3] net_rx(softirq)
112.43847560975638,[PID 18] [rcu_preempt]
67.48170731707316,[PID 4187] ffmpeg -re -ss 618 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
67.46341463414633,[PID 4192] ffmpeg -re -ss 1963 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
67.02743902439025,[PID 4188] ffmpeg -re -ss 2005 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
66.65853658536585,[PID 4190] ffmpeg -re -ss 1994 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
66.55182926829268,[PID 4194] ffmpeg -re -ss 1581 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
38.136280487805074,toggle_allocation_gate
19.357621951219546,fb_flashcursor
16.131371951219506,[PID 3842] powertop --csv --iteration=328 --time=10 
15.80243902439023,watchdog_timer_fn
12.867987804878052,[PID 4184] ffmpeg -re -ss 2005 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.571951219512203,[PID 4168] ffmpeg -re -ss 618 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.55396341463415,[PID 4176] ffmpeg -re -ss 1994 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.538109756097555,[PID 4172] ffmpeg -re -ss 1581 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.163109756097558,[PID 4180] ffmpeg -re -ss 1963 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
9.888567073170766,handle_update
7.784573170731718,[PID 118] [kcompactd0]
7.674573170731684,bnx2x_sp_task
4.363048780487807,bnx2x_period_task
3.894939024390258,pci_pme_list_scan
3.5759298780487963,[66] eth1
3.464588414634158,[60] eth0
3.0814329268292675,"[PID 4165] socat TCP-LISTEN:8083,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 618 1800 "
3.0577134146341454,"[PID 4169] socat TCP-LISTEN:8084,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1581 1800 "
2.966920731707318,"[PID 4173] socat TCP-LISTEN:8082,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1994 1800 "
2.868810975609756,"[PID 4177] socat TCP-LISTEN:8081,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1963 1800 "
2.8196341463414623,"[PID 4181] socat TCP-LISTEN:8080,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2005 1800 "
2.5563689024390235,[7] sched(softirq)
1.7723292682926863,kfree_rcu_monitor
1.372902439024393,lru_add_drain_per_cpu
1.306277439024389,[4] block(softirq)
1.175009146341465,vmstat_shepherd
1.0808506097560955,neigh_managed_work
1.0575304878048783,hrtimer_wakeup
0.9468262195121955,flush_memcg_stats_dwork
0.8840609756097564,[9] RCU(softirq)
0.6795548780487809,[PID 4149] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265404.2983513-160599447382348/AnsiballZ_command.py 
0.6523536585365856,[PID 4134] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265403.9926097-47742675955022/AnsiballZ_command.py 
0.6446676829268292,[PID 4139] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265404.183546-76299570700387/AnsiballZ_command.py 
0.6379237804878048,[PID 4144] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265404.2075849-143383439818447/AnsiballZ_command.py 
0.6228018292682924,[PID 4154] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265404.2985537-48348937054354/AnsiballZ_command.py 
0.5445335365853653,[PID 2029] [jbd2/sda3-8]
0.5033567073170729,[PID 121] [khugepaged]
0.44324390243902473,kfree_rcu_work
0.40448475609756146,[PID 4132] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265403.9926097-47742675955022/async_wrapper.py 59206
0.4036250000000004,[PID 4152] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265404.2985537-48348937054354/async_wrapper.py 23543
0.4035548780487807,[PID 4142] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265404.2075849-143383439818447/async_wrapper.py 1142
0.4022621951219513,[PID 4137] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265404.183546-76299570700387/async_wrapper.py 458141
0.40102134146341484,blk_mq_run_work_fn
0.398585365853659,[PID 4147] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717265404.2983513-160599447382348/async_wrapper.py 2685
0.3785396341463414,[1] timer(softirq)
0.36219207317073315,neigh_periodic_work
0.34095426829268327,drm_fb_helper_damage_work
0.3227957317073171,process_timeout
0.3027987804878049,wb_workfn
0.2954268292682927,[PID 3897] python3
0.2877317073170737,wb_update_bandwidth_workfn
0.2760457317073172,[PID 17] [ksoftirqd/0]
0.27164634146341465,[PID 3894] python3
0.2556371951219509,delayed_work_timer_fn
0.24420731707317073,[PID 3889] python3
0.2396341463414634,"[PID 4188] dmx0:mov,mp4,m4"
0.23628048780487806,[PID 3892] python3
0.23597560975609758,"[PID 4192] dmx0:mov,mp4,m4"
0.23231707317073172,"[PID 4187] dmx0:mov,mp4,m4"
0.22957317073170733,[PID 3899] python3
0.22560975609756098,"[PID 4194] dmx0:mov,mp4,m4"
0.224390243902439,"[PID 4190] dmx0:mov,mp4,m4"
0.22084146341463431,[PID 25] [ksoftirqd/1]
0.21355182926829264,hpsa_event_monitor_worker
0.20885670731707298,blk_mq_timeout_work
0.1849481707317073,delayed_vfree_work
0.18166158536585375,netstamp_clear
0.15549085365853652,[PID 109] [ksoftirqd/15]
0.1198170731707317,[PID 4115] python3
0.117780487804878,[6] tasklet(softirq)
0.10919207317073168,[PID 31] [ksoftirqd/2]
0.10335365853658536,[PID 4120] python3
0.10213414634146342,[PID 4110] python3
0.09969512195121952,[PID 4129] python3
0.0899390243902439,[PID 3885] sshd: videoserver@notty 
0.08353658536585366,[PID 4126] python3
0.07840853658536585,[PID 3677] /usr/sbin/chronyd -f /etc/chrony/chrony.conf 
0.07152743902439024,[PID 3704] /usr/sbin/crond -c /etc/crontabs -f 
0.06778963414634144,[62] eth0-fp-0
0.06641158536585363,ext4_end_io_rsv_work
0.06310975609756098,[PID 4180] ffmpeg
0.06125609756097556,crng_reseed
0.059786585365853656,[PID 4186] ffmpeg -re -ss 2005 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
0.05530487804878049,[PID 4191] ffmpeg -re -ss 1963 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
0.05326219512195122,[PID 4193] ffmpeg -re -ss 1581 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
0.049695121951219515,[PID 4168] ffmpeg
0.04878048780487805,[PID 4184] ffmpeg
0.04416768292682928,[PID 73] [ksoftirqd/9]
0.03871951219512195,[PID 4126] sh
0.03658536585365854,[PID 4172] ffmpeg
0.034795731707317076,hpsa_monitor_ctlr_worker
0.03353658536585366,[PID 4176] ffmpeg
0.031240853658536592,check_lifetime
0.02882926829268293,addrconf_verify_work
0.028109756097560973,[PID 4189] ffmpeg -re -ss 1994 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
0.02777439024390244,[PID 4143] python3
0.02728658536585366,[PID 4129] sh
0.02653963414634148,[PID 3868] [kworker/u32:0]
0.026347560975609766,[PID 453] [kworker/u32:6]
0.02426829268292683,[PID 4139] AnsiballZ_comma
0.02378048780487805,[PID 4133] python3
0.023759146341463415,[PID 396] [kworker/0:8]
0.023576219512195126,[PID 37] [ksoftirqd/3]
0.02326219512195122,[PID 4153] python3
0.022682926829268295,[PID 4148] python3
