PW Estimate (mW),Description
4095.829573170732,tick_sched_timer
1484.305771341464,[3] net_rx(softirq)
728.178719512195,hrtimer_wakeup
65.04152439024381,[PID 18] [rcu_preempt]
29.43750000000005,toggle_allocation_gate
22.199682926829276,[7] sched(softirq)
20.807317073170733,[PID 8290] ffmpeg -re -ss 508 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
20.642378048780483,[PID 8302] ffmpeg -re -ss 584 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
20.39298780487804,[PID 8284] ffmpeg -re -ss 1692 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
20.325304878048776,[PID 8374] ffmpeg -re -ss 1561 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
20.067682926829267,[PID 8428] ffmpeg -re -ss 739 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
20.004573170731717,[PID 8362] ffmpeg -re -ss 557 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
20.003048780487813,[PID 8386] ffmpeg -re -ss 1646 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.992378048780495,[PID 8494] ffmpeg -re -ss 1694 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.964329268292683,[PID 8320] ffmpeg -re -ss 1380 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.93048780487805,[PID 8458] ffmpeg -re -ss 2418 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.89024390243902,[PID 8350] ffmpeg -re -ss 771 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.874085365853663,[PID 8314] ffmpeg -re -ss 1836 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.84786585365855,[PID 8464] ffmpeg -re -ss 1416 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.835670731707317,[PID 8590] ffmpeg -re -ss 2506 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.802134146341462,[PID 8368] ffmpeg -re -ss 2431 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.7765243902439,[PID 8308] ffmpeg -re -ss 1210 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.73841463414635,[PID 8296] ffmpeg -re -ss 2889 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.721036585365855,[PID 8422] ffmpeg -re -ss 1919 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.716768292682914,[PID 8410] ffmpeg -re -ss 2373 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.69786585365854,[PID 8476] ffmpeg -re -ss 2804 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.695426829268303,[PID 8404] ffmpeg -re -ss 2361 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.690853658536582,[PID 8326] ffmpeg -re -ss 1393 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.676219512195107,[PID 8470] ffmpeg -re -ss 1695 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.670121951219514,[PID 8338] ffmpeg -re -ss 843 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.657012195121947,[PID 8416] ffmpeg -re -ss 1739 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.649085365853658,[PID 8392] ffmpeg -re -ss 2086 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.64207317073171,[PID 8380] ffmpeg -re -ss 2231 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
19.6140243902439,[PID 8452] ffmpeg -re -ss 1479 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
