PW Estimate (mW),Description
5804.115243902438,tick_sched_timer
1316.0895701219513,[3] net_rx(softirq)
415.4878048780488,hrtimer_wakeup
113.48621951219546,[PID 18] [rcu_preempt]
41.37621951219513,[PID 6218] ffmpeg -re -ss 71 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
41.35243902439026,[PID 6170] ffmpeg -re -ss 935 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
41.071646341463406,[PID 6200] ffmpeg -re -ss 621 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
41.01006097560977,[PID 6212] ffmpeg -re -ss 573 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
40.855792682926825,[PID 6176] ffmpeg -re -ss 120 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
40.762195121951216,[PID 6117] ffmpeg -re -ss 2648 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
40.71310975609758,[PID 6308] ffmpeg -re -ss 1777 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
40.672560975609755,[PID 6128] ffmpeg -re -ss 222 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
40.21006097560977,[PID 6158] ffmpeg -re -ss 593 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
40.20000000000001,[PID 6120] ffmpeg -re -ss 2883 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
40.075914634146336,[PID 6238] ffmpeg -re -ss 1487 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
40.0158536585366,[PID 6302] ffmpeg -re -ss 287 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
40.012499999999996,[PID 6164] ffmpeg -re -ss 2284 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
39.951524390243904,[PID 6242] ffmpeg -re -ss 538 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
39.8987804878049,[PID 6252] ffmpeg -re -ss 612 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
39.84024390243902,[PID 6326] ffmpeg -re -ss 2670 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
39.79359756097562,[PID 6284] ffmpeg -re -ss 174 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
39.75731707317071,[PID 6146] ffmpeg -re -ss 2565 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
39.75243902439022,[PID 6290] ffmpeg -re -ss 209 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
39.69908536585367,[PID 6118] ffmpeg -re -ss 2254 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
39.670426829268294,[PID 6236] ffmpeg -re -ss 1553 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
39.619512195121956,[PID 6126] ffmpeg -re -ss 1982 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
