PW Estimate (mW),Description
2195.7027439024396,tick_sched_timer
518.954125,[3] net_rx(softirq)
161.77521341463446,[PID 17] [rcu_preempt]
66.04878048780488,[PID 4489] ffmpeg -re -ss 1295 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
65.59451219512195,[PID 4496] ffmpeg -re -ss 2809 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
65.42682926829268,[PID 4501] ffmpeg -re -ss 2281 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
65.15243902439025,[PID 4491] ffmpeg -re -ss 1024 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
65.08841463414635,[PID 4483] ffmpeg -re -ss 1582 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
64.95426829268293,[PID 4497] ffmpeg -re -ss 2411 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
64.64024390243902,[PID 4494] ffmpeg -re -ss 403 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
64.02743902439025,[PID 4499] ffmpeg -re -ss 2271 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
63.76829268292682,[PID 4485] ffmpeg -re -ss 1901 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
63.58841463414634,[PID 4487] ffmpeg -re -ss 435 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
38.13079268292707,toggle_allocation_gate
19.313719512195142,fb_flashcursor
15.443292682926817,[PID 4449] ffmpeg -re -ss 435 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
15.35030487804878,watchdog_timer_fn
14.841036585365853,[PID 3838] powertop --csv --iteration=328 --time=10 
14.664024390243899,[PID 4461] ffmpeg -re -ss 2271 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.267987804878054,[PID 4477] ffmpeg -re -ss 403 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.8625,[PID 4445] ffmpeg -re -ss 2281 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.766158536585374,[PID 4453] ffmpeg -re -ss 1901 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.514024390243904,[PID 4457] ffmpeg -re -ss 2809 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.431707317073165,[PID 4465] ffmpeg -re -ss 1582 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.377134146341469,[PID 4469] ffmpeg -re -ss 1295 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.327743902439025,[PID 4481] ffmpeg -re -ss 1024 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.288109756097558,[PID 4476] ffmpeg -re -ss 2411 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
9.47807926829267,handle_update
8.24765243902436,bnx2x_period_task
7.775304878048752,bnx2x_sp_task
7.745823170731713,[PID 118] [kcompactd0]
4.850597560975618,[7] sched(softirq)
3.90603658536587,pci_pme_list_scan
3.6950884146341583,[60] eth0
3.3818079268292793,[66] eth1
2.938079268292682,"[PID 4473] socat TCP-LISTEN:8082,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 403 1800 "
2.8283841463414627,"[PID 4458] socat TCP-LISTEN:8084,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2271 1800 "
2.796890243902439,"[PID 4446] socat TCP-LISTEN:8088,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 435 1800 "
2.751798780487805,"[PID 4462] socat TCP-LISTEN:8081,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1582 1800 "
2.725396341463414,"[PID 4478] socat TCP-LISTEN:8083,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1024 1800 "
2.656036585365855,"[PID 4466] socat TCP-LISTEN:8087,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1295 1800 "
2.641371951219512,"[PID 4442] socat TCP-LISTEN:8089,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2281 1800 "
2.6013414634146335,"[PID 4450] socat TCP-LISTEN:8086,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1901 1800 "
2.6011585365853658,"[PID 4454] socat TCP-LISTEN:8085,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2809 1800 "
2.5228658536585367,"[PID 4470] socat TCP-LISTEN:8080,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2411 1800 "
2.2506707317073174,hrtimer_wakeup
1.725750000000003,kfree_rcu_monitor
1.583774390243904,lru_add_drain_per_cpu
1.579317073170732,[4] block(softirq)
1.4943689024390245,[9] RCU(softirq)
1.2922652439024382,vmstat_shepherd
1.0949847560975579,neigh_managed_work
0.8769603658536589,flush_memcg_stats_dwork
0.7021585365853659,[PID 25] [ksoftirqd/1]
0.65340243902439,[PID 4342] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270881.6930554-195910535593141/AnsiballZ_command.py 
0.639161585365854,[PID 4362] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270881.9292216-107351681436629/AnsiballZ_command.py 
0.6094420731707315,[PID 4351] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270881.9275339-35867644329268/AnsiballZ_command.py 
0.5699481707317073,[PID 4412] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.2553332-127855323777750/AnsiballZ_command.py 
0.569621951219512,[PID 4387] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.0789988-157750929871913/AnsiballZ_command.py 
0.5238353658536579,[1] timer(softirq)
0.5156585365853658,[PID 4424] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.2277775-86969917069783/AnsiballZ_command.py 
0.5121493902439024,[PID 4402] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.108864-187500736909066/AnsiballZ_command.py 
0.5081189024390244,[PID 4407] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.3625247-165278529506311/AnsiballZ_command.py 
0.5050457317073166,[PID 2029] [jbd2/sda3-8]
0.5019329268292685,[PID 4417] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.1113532-248658684153411/AnsiballZ_command.py 
0.5004207317073173,[PID 4429] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.241264-50894932493587/AnsiballZ_command.py 
0.48344512195121975,[PID 16] [ksoftirqd/0]
0.4670609756097561,process_timeout
0.4468658536585365,kfree_rcu_work
0.44587804878048803,[PID 109] [ksoftirqd/15]
0.4287012195121955,[PID 121] [khugepaged]
0.42605487804878156,blk_mq_run_work_fn
0.4211067073170734,[PID 31] [ksoftirqd/2]
0.40171036585365905,[PID 4427] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.241264-50894932493587/async_wrapper.py 721434
0.40056097560975684,[PID 4410] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.2553332-127855323777750/async_wrapper.py 1476
0.40021036585365843,[PID 4340] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270881.6930554-195910535593141/async_wrapper.py 2310
0.39931097560975676,[PID 4415] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.1113532-248658684153411/async_wrapper.py 5414
0.3992439024390251,[PID 4349] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270881.9275339-35867644329268/async_wrapper.py 73097
0.3979878048780494,[PID 4400] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.108864-187500736909066/async_wrapper.py 14147
0.3978750000000007,[PID 4421] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.2277775-86969917069783/async_wrapper.py 33233
0.3968231707317081,[PID 4405] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.3625247-165278529506311/async_wrapper.py 7316
0.39678658536585437,[PID 4385] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270882.0789988-157750929871913/async_wrapper.py 4370
0.39677439024390293,[PID 4360] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717270881.9292216-107351681436629/async_wrapper.py 2875
0.3944756097560987,neigh_periodic_work
0.3439115853658538,wb_workfn
0.336118902439025,drm_fb_helper_damage_work
0.33200304878048853,wb_update_bandwidth_workfn
0.3170731707317073,[PID 3910] python3
0.30243902439024395,[PID 3899] python3
0.2920731707317073,[PID 3890] python3
0.2914634146341463,[PID 3909] python3
0.2911585365853659,[PID 3911] python3
0.2891402439024387,delayed_work_timer_fn
0.26920731707317075,[PID 3887] python3
0.263109756097561,[PID 3893] python3
0.2597560975609756,[PID 3895] python3
0.2527439024390244,[PID 3908] python3
0.250609756097561,[PID 3897] python3
0.23696036585365848,delayed_vfree_work
0.221923780487805,hpsa_event_monitor_worker
0.21454268292682938,[6] tasklet(softirq)
0.20754573170731716,blk_mq_timeout_work
0.15867987804878053,netstamp_clear
0.12713414634146342,[PID 4334] python3
0.125,"[PID 3884] sshd: videoserver@pts/1,pts/6,pts/4,pts/3,pts/2,pts/5 "
0.11693902439024391,[64] eth0-fp-2
0.11676829268292682,[PID 4327] python3
0.10609451219512199,[62] eth0-fp-0
0.10465548780487795,[PID 3618] /sbin/syslogd -t -n 
0.10396341463414635,[PID 4354] python3
0.09878048780487805,[PID 4336] python3
0.0953628048780487,ext4_end_io_rsv_work
0.07530487804878049,[PID 4370] python3
0.07382317073170731,[PID 3701] /usr/sbin/crond -c /etc/crontabs -f 
0.06309146341463415,[65] eth0-fp-3
0.061493902439024396,[PID 4486] ffmpeg -re -ss 435 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
0.060045731707317036,crng_reseed
