PW Estimate (mW),Description
2.6246951219512193,"[PID 5039] socat TCP-LISTEN:8093,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 536 1800 "
2.616463414634146,"[PID 4983] socat TCP-LISTEN:8089,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 216 1800 "
2.5867378048780485,"[PID 5025] socat TCP-LISTEN:8097,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1710 1800 "
2.563780487804877,"[PID 5063] socat TCP-LISTEN:8092,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1599 1800 "
2.5545426829268285,"[PID 5015] socat TCP-LISTEN:8087,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1312 1800 "
2.5137804878048793,"[PID 5087] socat TCP-LISTEN:8099,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 586 1800 "
2.5060365853658535,"[PID 5021] socat TCP-LISTEN:8080,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1205 1800 "
2.4831707317073177,"[PID 4987] socat TCP-LISTEN:8082,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2645 1800 "
2.4639939024390243,"[PID 5071] socat TCP-LISTEN:8095,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2457 1800 "
2.46375,"[PID 5067] socat TCP-LISTEN:8090,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2600 1800 "
2.449481707317073,"[PID 4991] socat TCP-LISTEN:8083,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1924 1800 "
2.4486890243902426,"[PID 5033] socat TCP-LISTEN:8085,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2019 1800 "
2.427417682926829,[PID 17] [ksoftirqd/0]
2.401006097560976,"[PID 5045] socat TCP-LISTEN:8084,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2292 1800 "
2.3882012195121956,"[PID 5081] socat TCP-LISTEN:8094,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2803 1800 "
2.3621646341463403,"[PID 5009] socat TCP-LISTEN:8086,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2489 1800 "
2.351371951219513,"[PID 5091] socat TCP-LISTEN:8081,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2336 1800 "
2.297057926829274,kfree_rcu_monitor
1.7717012195121948,vmstat_shepherd
1.6566920731707324,lru_add_drain_per_cpu
1.0961310975609755,[PID 31] [ksoftirqd/2]
1.002878048780487,flush_memcg_stats_dwork
0.9120701219512196,[PID 25] [ksoftirqd/1]
0.8765457317073138,neigh_managed_work
0.8338292682926829,[PID 109] [ksoftirqd/15]
0.6883597560975611,delayed_vfree_work
0.6161006097560985,[1] timer(softirq)
0.515295731707317,[4] block(softirq)
0.5000213414634145,[PID 4848] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276349.3917332-237625350119023/AnsiballZ_command.py 
0.4820426829268292,[PID 4875] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.9640002-111130949830137/AnsiballZ_command.py 
0.46787195121951203,[PID 4927] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.941017-232662523230347/AnsiballZ_command.py 
0.46371951219512225,[PID 4802] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.053291-215819695755487/AnsiballZ_command.py 
0.45689024390243876,[PID 4858] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276349.672755-224873025327005/AnsiballZ_command.py 
0.448371951219512,[PID 4920] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.7381387-118094980369562/AnsiballZ_command.py 
0.4412896341463415,[PID 4821] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276348.4951563-99477726646143/AnsiballZ_command.py 
0.43812195121951203,[PID 4771] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276349.865318-119084747357466/AnsiballZ_command.py 
0.43194817073170755,[PID 4894] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.4594269-180610316916592/AnsiballZ_command.py 
0.43010365853658533,[PID 4908] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276349.3356135-75594935952439/AnsiballZ_command.py 
0.4261341463414634,[PID 4903] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.368572-201054370436030/AnsiballZ_command.py 
0.4113170731707318,[PID 4810] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.2107275-47185131013012/AnsiballZ_command.py 
0.40200609756097544,[PID 4863] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276348.2489154-17908586004579/AnsiballZ_command.py 
0.39770426829268296,[PID 4956] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.625646-33258887093982/AnsiballZ_command.py 
0.3960975609756098,[PID 4967] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.8785095-60422228260158/AnsiballZ_command.py 
0.36362804878048793,[PID 4944] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.9559212-201178937804300/AnsiballZ_command.py 
0.35619817073170745,[PID 4976] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276351.061099-78748609510782/AnsiballZ_command.py 
0.3424024390243903,[PID 4793] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276349.9699132-264466056568914/AnsiballZ_command.py 
0.340844512195122,[PID 4782] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276349.1787002-245793642809823/AnsiballZ_command.py 
0.3201219512195122,[PID 4112] python3
0.3131097560975608,process_timeout
0.2766371951219511,[PID 4763] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276348.1175148-48195142574461/AnsiballZ_command.py 
0.2762195121951219,[PID 3894] python3
0.2746951219512195,[PID 3896] python3
0.26920731707317075,[PID 4152] python3
0.25914634146341464,[PID 4156] python3
0.25152439024390244,[PID 3942] python3
0.25,[PID 3882] python3
0.24908536585365856,[PID 3936] python3
0.24512195121951222,[PID 3898] python3
0.24359756097560978,[PID 4116] python3
0.24352743902439042,kfree_rcu_work
0.24176829268292682,[PID 3963] python3
0.24051219512195118,[PID 121] [khugepaged]
0.23932926829268295,[PID 4154] python3
0.2371951219512195,[PID 3885] python3
0.2353658536585366,[PID 3892] python3
0.23506097560975608,[PID 3876] sshd: videoserver@notty 
0.22896341463414632,[PID 4077] python3
0.22739329268292682,[PID 2027] [jbd2/sda3-8]
0.21951219512195122,[PID 3887] python3
0.21859756097560978,[PID 3934] python3
0.21371951219512195,[PID 3890] python3
0.213109756097561,[PID 3880] python3
0.205783536585366,drm_fb_helper_damage_work
0.20152439024390242,"[PID 5086] dmx0:mov,mp4,m4"
0.19786585365853662,"[PID 5056] dmx0:mov,mp4,m4"
0.19634146341463418,"[PID 4996] dmx0:mov,mp4,m4"
0.1948170731707317,"[PID 5020] dmx0:mov,mp4,m4"
0.19451219512195123,"[PID 5038] dmx0:mov,mp4,m4"
0.19359756097560976,"[PID 5098] dmx0:mov,mp4,m4"
0.19329268292682927,"[PID 5078] dmx0:mov,mp4,m4"
0.19329268292682927,"[PID 5030] dmx0:mov,mp4,m4"
0.19207317073170732,"[PID 5032] dmx0:mov,mp4,m4"
0.19054878048780488,"[PID 5008] dmx0:mov,mp4,m4"
0.18902439024390244,"[PID 5062] dmx0:mov,mp4,m4"
0.18902439024390244,"[PID 5054] dmx0:mov,mp4,m4"
0.18841463414634146,"[PID 5080] dmx0:mov,mp4,m4"
0.1871951219512195,[PID 3878] python3
0.18597560975609756,"[PID 5076] dmx0:mov,mp4,m4"
0.18506097560975612,"[PID 5014] dmx0:mov,mp4,m4"
0.18506097560975612,"[PID 5044] dmx0:mov,mp4,m4"
0.18353658536585368,"[PID 5006] dmx0:mov,mp4,m4"
0.1798780487804878,"[PID 5000] dmx0:mov,mp4,m4"
0.17774390243902438,"[PID 4998] dmx0:mov,mp4,m4"
0.17012195121951218,"[PID 5096] dmx0:mov,mp4,m4"
0.12652439024390244,[PID 4877] python3
0.12378048780487806,[PID 4898] python3
0.11864024390243916,hpsa_event_monitor_worker
0.10760060975609756,delayed_work_timer_fn
0.10457317073170731,[PID 4833] python3
0.10335365853658536,[PID 4879] python3
0.1027439024390244,[PID 4958] python3
0.09481707317073171,[PID 4969] python3
0.09445426829268293,wb_workfn
0.09390243902439024,[PID 4936] python3
0.0923780487804878,[PID 4852] python3
0.09054878048780488,[PID 4910] python3
0.08910975609756099,[PID 4761] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276348.1175148-48195142574461/async_wrapper.py 44743
0.08841463414634147,[PID 4842] python3
0.08810975609756097,[PID 4840] python3
0.08724695121951222,[6] tasklet(softirq)
0.08689024390243903,[PID 4805] python3
0.08440853658536582,netstamp_clear
0.07669512195121955,neigh_periodic_work
0.07560975609756099,[PID 4946] python3
0.07424085365853657,[PID 4918] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.7381387-118094980369562/async_wrapper.py 2214
0.07317073170731708,[PID 4887] python3
0.07174695121951219,[PID 4901] /usr/bin/python3 /home/videoserver/.ansible/tmp/ansible-tmp-1717276350.368572-201054370436030/async_wrapper.py 58496
